Page,Section,Rq_No,Function_name,Function description,Integration(If any)
Subscription Summary,Terms,18.9.1,Terms Checkbox,Show: I agree to terms and authorize contact,UI checkbox
Subscription Summary,Terms,18.9.2,Enable Submit,Enable button only when checked,Form validation
Subscription Summary,Submit Request,18.10.1,Validate Form,Check all required fields filled,Form validation
Subscription Summary,Submit Request,18.10.2,Create Quote,Call subscription_flow_api.submit_subscription_request,subscription_flow_api.submit_subscription_request
Subscription Summary,Submit Request,18.10.3,Create Payment,Call payment_gateway_integration.create_upfront_payment_link,payment_gateway_integration.create_upfront_payment_link
Subscription Summary,Submit Request,18.10.4,Clear Session,Clear all sessionStorage,sessionStorage.clear()
Subscription Summary,Submit Request,18.10.5,Redirect Payment,Redirect to Razorpay payment link,Navigation
Subscription Summary,Submit Request,18.10.6,Handle Errors,"Show error, re-enable button",Error handling
Subscription Summary,Navigation,18.11.1,Back Button,Navigate to /customer/subscription/amenities,Navigation
,,,,,
,,,,,
,,,,,
,,,,,
BOOKINGS PAGE,https://yawlit.duckdns.org/customer/bookings,,,,
Bookings,Quick Actions,19.1.4,All Invoices Button,Navigate to /customer/invoices,Navigation
Bookings,Quick Actions,19.1.5,Book New Service Button,Navigate to /customer/book-service,Navigation
Bookings,Filter Tabs,19.2.1,All Tab,Show all bookings regardless of status,Filter logic
Bookings,Filter Tabs,19.2.2,Pending Tab,Filter bookings with status=Pending,Filter logic
Bookings,Filter Tabs,19.2.3,Confirmed Tab,Filter bookings with status=Confirmed,Filter logic
Bookings,Filter Tabs,19.2.4,Completed Tab,Filter bookings with status=Completed,Filter logic
Bookings,Filter Tabs,19.2.5,Cancelled Tab,Filter bookings with status=Cancelled,Filter logic
Bookings,Sort Options,19.2.6,Sort Dropdown,Show Most Recent and Oldest First options,UI dropdown
Bookings,Sort Options,19.2.7,Apply Sort,Sort bookings by booking_date based on selection,Client-side sorting
Bookings,Statistics Cards,19.3.1,Total Bookings,Count and display total bookings,booking.get_customer_bookings
Bookings,Statistics Cards,19.3.2,Pending Count,Count bookings with status=Pending,Client-side calculation
Bookings,Statistics Cards,19.3.3,Completed Count,Count bookings with status=Completed,Client-side calculation
Bookings,Statistics Cards,19.3.4,Total Spent,Sum total_amount for completed bookings,Client-side calculation
Bookings,Load Bookings,19.4.1,Fetch All Bookings,Call booking.get_customer_bookings with status=null,booking.get_customer_bookings
,,,,,
,,,,,
Bookings,Display Bookings,19.5.2,Show Booking ID,Display booking_id,Booking data
Bookings,Display Bookings,19.5.3,Show Service Name,Display product_name,Booking data
Bookings,Display Bookings,19.5.4,Show Status Badge,Display status with color coding,UI badge
Bookings,Display Bookings,19.5.5,Show Subscription Badge,Display subscription indicator if is_subscription_service=1,Booking data
Bookings,Display Bookings,19.5.6,Show Date,Display formatted booking_date,Booking data
Bookings,Display Bookings,19.5.7,Show Amount,Display total_amount,Booking data
Bookings,Display Bookings,19.5.8,View Details Button,Navigate to /customer/booking?id={booking_name},Navigation
Bookings,Display Bookings,19.5.9,View Invoice Button,Navigate to /customer/invoice?invoice={invoice_id},Navigation
Bookings,Display Bookings,19.5.10,Empty State,Show No bookings found message,UI empty state
Bookings,Reschedule Options,19.6.1,Reschedule Button,Show for Pending/Confirmed bookings,UI button
Bookings,Reschedule Options,19.6.2,Show Options Modal,Display Date/Time Only or Services Only or Both options,frappe.msgprint
Bookings,Reschedule Options,19.6.3,Date/Time Reschedule,Show date picker and time slot selector,UI form
Bookings,Reschedule Options,19.6.4,Services Reschedule,Show available services selection,UI form
Bookings,Reschedule Options,19.6.5,Complete Reschedule,Show both date/time and services selection,UI form
Bookings,Cancel Booking,19.7.2,Check Eligibility,Call cancellation.check_cancellation_eligibility,cancellation.check_cancellation_eligibility
Bookings,Cancel Booking,19.7.3,Show Cancellation Modal,Display hours until booking and cancellation fee,frappe.msgprint
Bookings,Cancel Booking,19.7.4,Display Fee Details,Show cancellation_fee and refund_amount,Eligibility data
Bookings,Cancel Booking,19.7.5,Display Wash Credit,Show will_credit_wash if subscription booking,Eligibility data
Bookings,Cancel Booking,19.7.6,Reason Input,Textarea for cancellation reason,UI input
Bookings,Cancel Booking,19.7.7,Confirm Cancellation,Call booking_management.cancel_booking,booking_management.cancel_booking
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
INVOICES PAGE,https://yawlit.duckdns.org/customer/invoices,,,,
,,,,,
Invoices,Page Access,20.1.2,Customer Profile Check,Verify CustomerProfile exists for user,CustomerProfile doctype
Invoices,Page Header,20.2.3,Back Button,Navigate to /customer/bookings,Navigation
Invoices,Filter Section,20.3.1,Payment Status Filter,Dropdown with All/Pending/Partially Paid/Fully Paid,UI dropdown
Invoices,Filter Section,20.3.2,Date From Filter,Date input for start date,UI date input
Invoices,Filter Section,20.3.3,Date To Filter,Date input for end date,UI date input
Invoices,Filter Section,20.3.4,Apply Filters Button,Call get_customer_invoices with filter parameters,customer_portal.get_customer_invoices
Invoices,Filter Section,20.3.5,Clear Filters Button,Reset all filters and reload,Client-side reset
Invoices,Load Invoices,20.4.1,Fetch Invoices,Call customer_portal.get_customer_invoices,customer_portal.get_customer_invoices
Invoices,Display Invoices,20.5.2,Show Invoice ID,Display invoice_id,Invoice data
Invoices,Display Invoices,20.5.3,Show Invoice Date,Display formatted invoice_date,Invoice data
Invoices,Display Invoices,20.5.4,Show Total Amount,Display total with currency symbol,Invoice data
Invoices,Display Invoices,20.5.5,Show Payment Status,Display payment_status with color badge,Invoice data
Invoices,Display Invoices,20.5.6,Show Booking Link,Display linked booking_id if exists,Invoice data
Invoices,Display Invoices,20.5.7,View Button,Navigate to /customer/invoice?invoice={invoice_id},Navigation
,,,,,
,,,,,
,,,,,
,,,,,
INVOICE DETAIL PAGE,,,,,
Invoice Detail (view button  in rvery invoice),Page Access,21.1.1,Authentication Check,Redirect to /login if user is Guest,Session management
Invoice Detail,Page Access,21.1.2,Get Invoice Name,Extract invoice parameter from URL,frappe.form_dict
Invoice Detail,Page Access,21.1.3,Validate Invoice Exists,Check if invoice exists in Invoice doctype,Invoice doctype
Invoice Detail,Page Access,21.1.4,Check Permission,Verify invoice.customer matches logged-in customer,CustomerProfile doctype
Invoice Detail,Page Access,21.1.5,Show Error State,Display error message if not found or no permission,UI error state
Invoice Detail,Load Invoice,21.2.1,Fetch Invoice,Get Invoice document with all fields,frappe.get_doc
Invoice Detail,Load Invoice,21.2.2,Get Customer Details,Load customer_name and contact info,CustomerProfile doctype
Invoice Detail,Load Invoice,21.2.3,Get Booking Details,Load booking_id if invoice.booking exists,Booking doctype
Invoice Detail,Load Invoice,21.2.4,Get Payment History,Fetch all payments for booking with status=Success,Payment doctype
Invoice Detail,Load Invoice,21.2.5,Calculate Actual Paid,Sum payment amounts to get total_paid,Payment calculation
Invoice Detail,Load Invoice,21.2.6,Calculate Balance,Calculate invoice.total - total_paid,Balance calculation
Invoice Detail,Header Section,21.3.1,Display Company Name,Show Yawlit Automotive,UI display
Invoice Detail,Header Section,21.3.2,Display Company Info,Show contact details,UI display
Invoice Detail,Header Section,21.3.3,Display Invoice Title,Show INVOICE heading,UI display
Invoice Detail,Header Section,21.3.4,Display Invoice ID,Show invoice_id,Invoice data
Invoice Detail,Customer Details,21.4.1,Display Bill To Label,Show BILL TO: heading,UI display
Invoice Detail,Customer Details,21.4.2,Display Customer Name,Show customer_name,Invoice data
Invoice Detail,Customer Details,21.4.3,Display Email,Show customer_email if exists,Invoice data
Invoice Detail,Customer Details,21.4.4,Display Phone,Show customer_phone if exists,Invoice data
Invoice Detail,Invoice Info,21.5.1,Display Invoice Date,Show formatted invoice_date,Invoice data
Invoice Detail,Invoice Info,21.5.2,Display Due Date,Show formatted due_date if exists,Invoice data
Invoice Detail,Invoice Info,21.5.3,Display Payment Status,Show payment_status,Invoice data
Invoice Detail,Invoice Info,21.5.4,Display Booking ID,Show booking_id if exists,Invoice data
Invoice Detail,Services Table,21.6.1,Display Services Header,Show Services heading,UI display
Invoice Detail,Services Table,21.6.2,Create Services Table,Display table with columns: Service/Type/Qty/Unit Price/Amount,UI table
Invoice Detail,Services Table,21.6.3,List Services,Loop through invoice.services and display rows,Invoice.services child table
Invoice Detail,Services Table,21.6.4,Show Service Description,Display service description,Service data
Invoice Detail,Services Table,21.6.5,Show Service Type,Display service_type,Service data
Invoice Detail,Services Table,21.6.6,Show Quantity,Display qty,Service data
Invoice Detail,Services Table,21.6.7,Show Unit Price,Display formatted unit_price,Service data
Invoice Detail,Services Table,21.6.8,Show Amount,Display formatted amount,Service data
Invoice Detail,Add-ons Table,21.7.1,Display Add-ons Header,Show Add-ons & Extras heading,UI display
Invoice Detail,Add-ons Table,21.7.2,Create Add-ons Table,Display table with columns: Description/Qty/Unit Price/Amount,UI table
Invoice Detail,Add-ons Table,21.7.3,List Add-ons,Loop through invoice.addons and display rows,Invoice.addons child table
Invoice Detail,Totals Section,21.8.1,Display Subtotal,Show invoice.subtotal,Invoice data
Invoice Detail,Totals Section,21.8.2,Display Taxes,Show invoice.taxes if > 0,Invoice data
Invoice Detail,Totals Section,21.8.3,Display Discounts,Show invoice.discounts if > 0,Invoice data
Invoice Detail,Totals Section,21.8.4,Display Adjustment,Show invoice.adjustment if != 0,Invoice data
Invoice Detail,Totals Section,21.8.5,Display Total,Show invoice.total in bold,Invoice data
Invoice Detail,Payment Summary,21.9.1,Display Summary Header,Show Payment Summary heading,UI display
Invoice Detail,Payment Summary,21.9.2,Display Total Amount,Show invoice.total,Invoice data
Invoice Detail,Payment Summary,21.9.3,Display Amount Paid,Show actual_paid (calculated),Payment calculation
Invoice Detail,Payment Summary,21.9.4,Display Balance Due,Show actual_balance if > 0,Payment calculation
Invoice Detail,Payment Summary,21.9.5,Display Fully Paid,Show Fully Paid message if balance = 0,UI state
Invoice Detail,Payment History,21.10.1,Display History Header,Show Payment History heading,UI display
Invoice Detail,Payment History,21.10.2,Create History Table,Display table with Date/Type/Method/Amount,UI table
Invoice Detail,Payment History,21.10.3,List Payments,Loop through payments and display rows,Payment data
Invoice Detail,Footer,21.11.1,Display Terms,Show Terms & Conditions text,UI display
Invoice Detail,Action Buttons,21.12.1,Pay Balance Button,Show if actual_balance > 0,UI button
Invoice Detail,Action Buttons,21.12.2,Process Payment,Call payment_api.create_balance_payment,payment_api.create_balance_payment
Invoice Detail,Action Buttons,21.12.3,Print Invoice Button,Trigger window.print(),Window.print
Invoice Detail,Action Buttons,21.12.4,View All Invoices Button,Navigate to /customer/invoices,Navigation
Invoice Detail,Action Buttons,21.12.5,My Bookings Button,Navigate to /customer/bookings,Navigation
Invoice Detail,Action Buttons,21.12.6,View Booking Button,Navigate to /customer/booking?id={booking},Navigation
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
MY QUOTES PAGE,https://yawlit.duckdns.org/customer/quote/my-quotes,,,,
,,,,,
My Quotes,Page Header,22.2.1,Display Title,Show My Subscription Quotes heading,UI display
My Quotes,Page Header,22.2.2,Display Subtitle,Show View and manage your subscription quotes,UI display
My Quotes,Load Quotes,22.3.1,Fetch Quotes,Call subscription_flow_api.get_customer_quotes,subscription_flow_api.get_customer_quotes
,,,,,
My Quotes,Display Quotes,22.4.1,Create Quote Cards,Display each quote as card,UI cards
My Quotes,Display Quotes,22.4.2,Show Quote ID,Display quote name,Quote data
My Quotes,Display Quotes,22.4.3,Show Creation Date,Display formatted creation date,Quote data
My Quotes,Display Quotes,22.4.4,Show Plan Name,Display plan_name,Quote data
My Quotes,Display Quotes,22.4.5,Show Monthly Price,Display final_monthly_price,Quote data
My Quotes,Display Quotes,22.4.6,Show Status Badge,Display status with color coding,Quote data
My Quotes,Display Quotes,22.4.7,View Button,Navigate to /customer/quote/view?quote_id={name},Navigation
My Quotes,Display Quotes,22.4.8,Pay Now Button,Show if status=Sent and payment_status=Pending,UI button
My Quotes,Display Quotes,22.4.9,Empty State,Show No quotes found with Request New Quote button,UI empty state
My Quotes,Empty State,22.5.1,Request Quote Button,Navigate to /customer/subscription,Navigation
,,,,,
QUOTE VIEW button (Page),,,,,
,,,,,
Quote View,Page Access,23.1.2,Get Quote ID,Extract quote_id parameter from URL,URL params
Quote View,Page Access,23.1.3,Validate Quote ID,Check if quote_id provided,Validation
Quote View,Page Header,23.2.1,Back Button,Navigate to /customer/quote/my-quotes,Navigation
Quote View,Page Header,23.2.2,Display Title,Show Quote Details heading,UI display
Quote View,Page Header,23.2.3,Display Subtitle,Show Review your subscription quote,UI display
Quote View,Load Quote,23.3.1,Fetch Quote,Call frappe.client.get for SubscriptionQuote,frappe.client.get
,,,,,
Quote View,Quote Header,23.4.1,Display Quote ID,Show Quote #{quote_id},Quote data
Quote View,Quote Header,23.4.2,Display Generation Date,Show formatted generated_date,Quote data
Quote View,Quote Header,23.4.3,Display Status Badge,Show status with color coding,Quote data
Quote View,Plan Details,23.5.1,Display Plan Name,Show product_plan,Quote data
Quote View,Plan Details,23.5.2,Display Vehicle Count,Show total_vehicles,Quote data
Quote View,Plan Details,23.5.3,Display Washes Per Month,Show washes_per_month,Quote data
Quote View,Pricing Breakdown,23.6.1,Display Base Price,Show base_price,Quote data
Quote View,Pricing Breakdown,23.6.2,Display Vehicle Surcharge,Show vehicle_surcharge_amount if > 0,Quote data
Quote View,Pricing Breakdown,23.6.3,Display Distance Markup,Show distance_markup_amount if > 0,Quote data
Quote View,Pricing Breakdown,23.6.4,Display Time Markup,Show time_markup_amount if > 0,Quote data
Quote View,Pricing Breakdown,23.6.5,Display Amenity Charges,Show amenities_fees,Quote data
Quote View,Pricing Breakdown,23.6.6,Display Subtotal Before Discount,Show subtotal_before_discount,Quote data
Quote View,Pricing Breakdown,23.6.7,Display Discount,Show discount_amount if > 0,Quote data
Quote View,Pricing Breakdown,23.6.8,Display Final Price,Show final_monthly_price in large text,Quote data
Quote View,Payment Section,23.7.1,Show Payment Section,Display if status=Sent and payment_status=Pending,UI conditional
Quote View,Payment Section,23.7.2,Display Ready Message,Show Ready to Subscribe? heading,UI display
Quote View,Payment Section,23.7.3,Proceed to Payment Button,Call subscription_payment.accept_quote_and_pay,subscription_payment.accept_quote_and_pay
Quote View,Subscription Created,23.8.4,View Subscription Button,Navigate to /customer/subscription/my-subscription?subscription_id={id},Navigation
,,,,,
,,,,,
Yet to finish these below  pages  ,,,,,
MANAGE SUBSCRIPTIONS PAGE,,,,,
,,,,,
Manage Subscriptions,Page Header,24.2.1,Back Button,Navigate to /customer/dashboard,Navigation
Manage Subscriptions,Page Header,24.2.2,Display Title,Show Manage Subscriptions heading,UI display
Manage Subscriptions,Page Header,24.2.3,Display Subtitle,Show View and manage all your subscriptions and quotes,UI display
Manage Subscriptions,Load Data,24.3.1,Fetch Subscriptions,Call subscription_flow_api.get_customer_subscriptions,subscription_flow_api.get_customer_subscriptions
Manage Subscriptions,Load Data,24.3.2,Fetch Quotes,Call subscription_flow_api.get_customer_quotes,subscription_flow_api.get_customer_quotes
Manage Subscriptions,Active Subscriptions,24.4.3,Create Subscription Cards,Display each active subscription as card,UI cards
Manage Subscriptions,Active Subscriptions,24.4.4,Show Plan Name,Display plan_name,Subscription data
Manage Subscriptions,Active Subscriptions,24.4.5,Show Status Badge,Display status badge,Subscription data
Manage Subscriptions,Active Subscriptions,24.4.6,Show Washes Left,Display total_available_washes / allocated_washes,Subscription data
Manage Subscriptions,Active Subscriptions,24.4.7,Show Monthly Price,Display monthly_total,Subscription data
Manage Subscriptions,Active Subscriptions,24.4.8,Show Valid Until,Display formatted end_date,Subscription data
Manage Subscriptions,Active Subscriptions,24.4.9,View Details Button,Navigate to /customer/subscription/my-subscription?subscription_id={name},Navigation
Manage Subscriptions,Active Subscriptions,24.4.10,Book Wash Button,Navigate to /customer/subscription/book-wash?subscription_id={name},Navigation
Manage Subscriptions,Active Subscriptions,24.4.11,Empty State,Show No active subscriptions with Browse Plans button,UI empty state
Manage Subscriptions,Pending Quotes,24.5.1,Display Section Header,Show Pending Quotes heading,UI display
Manage Subscriptions,Pending Quotes,24.5.2,Filter Pending,Filter quotes with status in Draft/Sent/Viewed,Client-side filter
Manage Subscriptions,Pending Quotes,24.5.3,Create Quote Cards,Display each pending quote as card,UI cards
Manage Subscriptions,Pending Quotes,24.5.4,Show Plan Name,Display plan_name,Quote data
Manage Subscriptions,Pending Quotes,24.5.5,Show Status Badge,Display status badge,Quote data
Manage Subscriptions,Pending Quotes,24.5.6,Show Estimated Price,Display final_monthly_price,Quote data
Manage Subscriptions,Pending Quotes,24.5.7,Show Submitted Date,Display formatted creation date,Quote data
Manage Subscriptions,Pending Quotes,24.5.8,Show Payment Status,Display payment_status,Quote data
Manage Subscriptions,Pending Quotes,24.5.9,View Quote Button,Navigate to /customer/quote/view?quote_id={name},Navigation
Manage Subscriptions,Pending Quotes,24.5.10,Empty State,Show No pending quotes with View All Quotes button,UI empty state
Manage Subscriptions,Past Subscriptions,24.6.1,Display Section Header,Show Past Subscriptions heading,UI display
Manage Subscriptions,Past Subscriptions,24.6.2,Filter Past,Filter subscriptions with status in Suspended/Cancelled/Expired,Client-side filter
Manage Subscriptions,Past Subscriptions,24.6.3,Create Subscription Cards,Display each past subscription as card,UI cards
Manage Subscriptions,Past Subscriptions,24.6.4,Show Details,Display same fields as active subscriptions,Subscription data
Manage Subscriptions,Past Subscriptions,24.6.5,View Details Button,Navigate to /customer/subscription/my-subscription?subscription_id={name},Navigation
Manage Subscriptions,Past Subscriptions,24.6.6,Empty State,Show No past subscriptions message,UI empty state
,,,,,
MY SUBSCRIPTION PAGE,,,,,
My Subscription,Page Access,25.1.1,Authentication Check,Redirect to /login if user is Guest,Session management
My Subscription,Page Access,25.1.2,Get Subscription ID,Extract subscription_id parameter from URL,URL params
My Subscription,Page Access,25.1.3,Validate Subscription ID,Check if subscription_id provided,Validation
My Subscription,Page Header,25.2.1,Back Button,Navigate to /customer/dashboard,Navigation
My Subscription,Page Header,25.2.2,Display Title,Show My Subscription heading,UI display
My Subscription,Page Header,25.2.3,Display Subtitle,Show Manage your subscription and book washes,UI display
My Subscription,Load Subscription,25.3.1,Fetch Details,Call subscription_flow_api.get_subscription_details,subscription_flow_api.get_subscription_details
My Subscription,Load Subscription,25.3.2,Display Loading,Show spinner while fetching,UI loading state
My Subscription,Status Alert,25.4.1,Check Status,Evaluate subscription.status,Subscription data
My Subscription,Status Alert,25.4.2,Show Suspended Alert,Display warning if status=Suspended,UI alert
My Subscription,Status Alert,25.4.3,Show Cancelled Alert,Display danger alert if status=Cancelled,UI alert
My Subscription,Status Alert,25.4.4,Show Expired Alert,Display warning if status=Expired,UI alert
My Subscription,Overview Card,25.5.1,Display Plan Name,Show plan_name,Subscription data
My Subscription,Overview Card,25.5.2,Display Subscription ID,Show subscription name,Subscription data
My Subscription,Overview Card,25.5.3,Display Status Badge,Show status with color coding,Subscription data
My Subscription,Overview Card,25.5.4,Display Washes Used,Show used_washes_current_month,Subscription data
My Subscription,Overview Card,25.5.5,Display Total Washes,Show washes_per_month,Subscription data
My Subscription,Overview Card,25.5.6,Display Progress Bar,Show visual progress of washes used,UI progress bar
My Subscription,Overview Card,25.5.7,Display Per Wash Cost,Calculate monthly_total / washes_per_month,Calculated value
My Subscription,Overview Card,25.5.8,Display Monthly Price,Show monthly_total,Subscription data
My Subscription,Overview Card,25.5.9,Display Valid Until,Show formatted end_date,Subscription data
My Subscription,Overview Card,25.5.10,Book Wash Button,Navigate to /customer/subscription/book-wash,Navigation
My Subscription,Overview Card,25.5.11,Bulk Book Button,Navigate to /customer/bulk-booking,Navigation
My Subscription,Overview Card,25.5.12,View Ledger Button,Navigate to /customer/subscription/ledger,Navigation
My Subscription,Overview Card,25.5.13,Disable Buttons,Disable if status != Active,UI state
My Subscription,Included Services,25.6.1,Display Section Header,Show Included Services in Your Plan heading,UI display
My Subscription,Included Services,25.6.2,Display Exterior Header,Show EXTERIOR Services subheading,UI display
My Subscription,Included Services,25.6.3,List Exterior Services,Display services with service_section=EXTERIOR,Subscription.services
My Subscription,Included Services,25.6.4,Display Interior Header,Show INTERIOR Services subheading,UI display
My Subscription,Included Services,25.6.5,List Interior Services,Display services with service_section=INTERIOR,Subscription.services
My Subscription,Included Services,25.6.6,Show Service Name,Display addon_name,Service data
My Subscription,Included Services,25.6.7,Show Service Quantity,Display quantity available,Service data
My Subscription,Vehicles Section,25.7.1,Display Section Header,Show Your Vehicles heading,UI display
My Subscription,Vehicles Section,25.7.2,List Vehicles,Display all subscription vehicles,Subscription.vehicles
My Subscription,Vehicles Section,25.7.3,Show Vehicle Number,Display vehicle_number,Vehicle data
My Subscription,Vehicles Section,25.7.4,Show Vehicle Type,Display vehicle_type,Vehicle data
My Subscription,Wash History,25.8.1,Display Section Header,Show Wash Usage History heading,UI display
My Subscription,Wash History,25.8.2,Fetch History,Call fix_subscription_booking_logic.get_subscription_wash_history,fix_subscription_booking_logic.get_subscription_wash_history
My Subscription,Wash History,25.8.3,Create History Table,Display table with Wash#/Date/Services/Add-ons/Amount/Status,UI table
My Subscription,Wash History,25.8.4,List Washes,Loop through wash_history and display rows,Wash history data
My Subscription,Wash History,25.8.5,Show Wash Number,Display wash_number,Wash data
My Subscription,Wash History,25.8.6,Show Date,Display formatted booking_date,Wash data
My Subscription,Wash History,25.8.7,Show Services Used,Display services_used,Wash data
My Subscription,Wash History,25.8.8,Show Add-ons,Display addons_purchased,Wash data
My Subscription,Wash History,25.8.9,Show Amount Paid,Display addon_amount_paid,Wash data
My Subscription,Wash History,25.8.10,Show Status Badge,Display status with color coding,Wash data
My Subscription,Wash History,25.8.11,Empty State,Show No washes booked yet message,UI empty state
My Subscription,Details Section,25.9.1,Display Section Header,Show Subscription Details heading,UI display
My Subscription,Details Section,25.9.2,Display Preferred Days,Show preferred_days,Subscription data
My Subscription,Details Section,25.9.3,Display Preferred Time,Show preferred_time,Subscription data
My Subscription,Details Section,25.9.4,Display Electricity Status,Show electricity_provided,Subscription data
My Subscription,Details Section,25.9.5,Display Water Status,Show water_provided,Subscription data
,,,,,
,,,,,
,,,,,
,,,,,
BOOK WASH PAGE,,,,,
Book Wash,Page Access,26.1.1,Authentication Check,Redirect to /login if user is Guest,Session management
Book Wash,Page Access,26.1.2,Get Subscription ID,Extract subscription_id parameter from URL,URL params
Book Wash,Page Access,26.1.3,Validate Subscription ID,Check if subscription_id provided,Validation
Book Wash,Page Header,26.2.1,Back Button,Navigate back using history.back(),Navigation
Book Wash,Page Header,26.2.2,Bulk Book Button,Navigate to /customer/bulk-booking,Navigation
Book Wash,Page Header,26.2.3,Display Title,Show Book Your Wash heading,UI display
Book Wash,Page Header,26.2.4,Display Subtitle,Show Select services and schedule your wash,UI display
Book Wash,Load Subscription,26.3.1,Fetch Details,Call subscription_flow_api.get_subscription_details,subscription_flow_api.get_subscription_details
Book Wash,Load Subscription,26.3.2,Calculate Per Wash Cost,Calculate monthly_total / washes_per_month,Calculated value
Book Wash,Load Subscription,26.3.3,Display Services,Populate included services sections,Subscription.services
Book Wash,Load Subscription,26.3.4,Display Vehicles,Populate vehicle selection,Subscription.vehicles
Book Wash,Load Subscription,26.3.5,Display Preferences,Show preferred_days and preferred_time,Subscription data
Book Wash,Service Preferences,26.4.1,Load Preferences,Call service_preferences.get_customer_service_preferences,service_preferences.get_customer_service_preferences
Book Wash,Service Preferences,26.4.2,Use Previous Button,Show button to apply previous selections,UI button
Book Wash,Service Preferences,26.4.3,Show Preferences Modal,Display list of previous service combinations,frappe.prompt
Book Wash,Service Preferences,26.4.4,Apply Selection,Pre-select services based on chosen preference,Client-side selection
Book Wash,Included Services,26.5.1,Display Exterior Header,Show EXTERIOR Services heading,UI display
Book Wash,Included Services,26.5.2,Display Exterior Cards,Show service cards for EXTERIOR services,UI cards
Book Wash,Included Services,26.5.3,Display Interior Header,Show INTERIOR Services heading,UI display
Book Wash,Included Services,26.5.4,Display Interior Cards,Show service cards for INTERIOR services,UI cards
Book Wash,Included Services,26.5.5,Show Service Name,Display addon_name,Service data
Book Wash,Included Services,26.5.6,Show Included Badge,Display Included in plan (₹0),UI badge
Book Wash,Included Services,26.5.7,Show Quantity,Display quantity available,Service data
Book Wash,Included Services,26.5.8,Toggle Selection,Add/remove service from selectedIncludedServices,Client-side state
Book Wash,Included Services,26.5.9,Visual Feedback,Highlight selected cards with blue border,CSS styling
Book Wash,Optional Add-ons,26.6.1,Display Section Header,Show Optional Add-ons heading,UI display
Book Wash,Optional Add-ons,26.6.2,Fetch Add-ons,Call subscription_flow_api.get_plan_optional_addons,subscription_flow_api.get_plan_optional_addons
Book Wash,Optional Add-ons,26.6.3,Display Add-on Cards,Show each add-on with name and price,UI cards
Book Wash,Optional Add-ons,26.6.4,Show Add-on Name,Display addon_name,Add-on data
Book Wash,Optional Add-ons,26.6.5,Show Add-on Price,Display unit_price with +₹ prefix,Add-on data
Book Wash,Optional Add-ons,26.6.6,Toggle Selection,Add/remove add-on from selectedOptionalAddons,Client-side state
Book Wash,Optional Add-ons,26.6.7,Visual Feedback,Highlight selected cards with orange border,CSS styling
Book Wash,Date Selection,26.7.1,Display Calendar Header,Show Select Date heading,UI display
Book Wash,Date Selection,26.7.2,Display Preferences Info,Show preferred days and time,Subscription data
Book Wash,Date Selection,26.7.3,Render Calendar,Display current month calendar grid,JavaScript Date
Book Wash,Date Selection,26.7.4,Month Navigation,Show previous/next month buttons,UI buttons
Book Wash,Date Selection,26.7.5,Disable Past Dates,Mark dates before today as disabled,Date validation
Book Wash,Date Selection,26.7.6,Highlight Preferred Days,Mark preferred days with green border,CSS styling
Book Wash,Date Selection,26.7.7,Select Date,Store selected date in sessionStorage,Client-side state
Book Wash,Date Selection,26.7.8,Visual Feedback,Highlight selected date with blue background,CSS styling
Book Wash,Date Selection,26.7.9,Clear Date Button,Show button to clear date selection,UI button
Book Wash,Time Slot Selection,26.8.1,Display Section Header,Show Available Time Slots heading,UI display
Book Wash,Time Slot Selection,26.8.2,Fetch Slots,Call booking.get_available_slots with selected date,booking.get_available_slots
Book Wash,Time Slot Selection,26.8.3,Display Slot Cards,Show each slot with time and capacity,UI cards
Book Wash,Time Slot Selection,26.8.4,Show Time,Display formatted start_time,Slot data
Book Wash,Time Slot Selection,26.8.5,Show Capacity,Display available_capacity,Slot data
Book Wash,Time Slot Selection,26.8.6,Disable Full Slots,Mark slots with capacity=0 as disabled,Slot validation
Book Wash,Time Slot Selection,26.8.7,Select Slot,Store selected slot_id and time,Client-side state
Book Wash,Time Slot Selection,26.8.8,Visual Feedback,Highlight selected slot with blue background,CSS styling
Book Wash,Vehicle Selection,26.9.1,Display Section Header,Show Select Vehicle heading,UI display
Book Wash,Vehicle Selection,26.9.2,Display Vehicle Cards,Show each vehicle with radio button,UI cards
Book Wash,Vehicle Selection,26.9.3,Show Vehicle Number,Display vehicle_number,Vehicle data
Book Wash,Vehicle Selection,26.9.4,Show Vehicle Type,Display vehicle_type,Vehicle data
Book Wash,Vehicle Selection,26.9.5,Select Vehicle,Store selected vehicle_number,Client-side state
Book Wash,Price Summary,26.10.1,Display Summary Card,Show sticky price summary card,UI card
Book Wash,Price Summary,26.10.2,Display Included Price,Show per wash cost,Calculated value
Book Wash,Price Summary,26.10.3,Display Add-on Price,Sum selected optional add-on prices,Calculated value
Book Wash,Price Summary,26.10.4,Display Total,Show total to pay (add-ons only),Calculated value
Book Wash,Price Summary,26.10.5,Confirm Button,Enable when all selections made,UI button
Book Wash,Price Summary,26.10.6,Payment History Link,Navigate to /customer/booking/payment-history,Navigation
Book Wash,Confirm Booking,26.11.1,Validate Selections,Check service/date/slot/vehicle selected,Form validation
Book Wash,Confirm Booking,26.11.2,Show Payment Confirmation,Display modal if add-ons > 0,frappe.confirm
